ORACLE_SP, INFORMATICA_FOLDER, INFORMATICA_WORKFLOW, ABAC_PROC_ID, ABAC_PROC_NM, ABAC_PROPERTY_NAMESPACE, ABAC_PROPERTY_NAME, ABAC_PROPERTY_VALUE
N/A, edw_atomic, w_usg_sess_p, 1711, edw_usg_sess_post_tods_043, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_atomic, w_usg_sess_p, 1711, edw_usg_sess_post_tods_043, Global, $$TABLE_OWNER_NAME, DWINT
N/A, edw_atomic, w_usg_sess_p, 1711, edw_usg_sess_post_tods_043, Global, $$TRG_TABLE, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1712, edw_usg_sess_post_tods_044, Global, $$INT_USG_SESS_TABLE_NAME, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1712, edw_usg_sess_post_tods_044, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_atomic, w_usg_sess_p, 1712, edw_usg_sess_post_tods_044, Global, $$TABLE_OWNER_NAME, DWINT
N/A, edw_atomic, w_usg_sess_p, 1712, edw_usg_sess_post_tods_044, Global, $$TRG_TABLE, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1713, edw_usg_sess_post_tods_045, Global, $$INT_USG_SESS_TABLE_NAME, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1713, edw_usg_sess_post_tods_045, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_atomic, w_usg_sess_p, 1713, edw_usg_sess_post_tods_045, Global, $$TABLE_OWNER_NAME, DWINT
N/A, edw_atomic, w_usg_sess_p, 1713, edw_usg_sess_post_tods_045, Global, $$TRG_TABLE, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1714, edw_usg_sess_post_tods_046, Global, $$INT_USG_SESS_TABLE_NAME, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1714, edw_usg_sess_post_tods_046, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_atomic, w_usg_sess_p, 1714, edw_usg_sess_post_tods_046, Global, $$TABLE_OWNER_NAME, DWINT
N/A, edw_atomic, w_usg_sess_p, 1714, edw_usg_sess_post_tods_046, Global, $$TRG_TABLE, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1715, edw_usg_sess_post_tods_047, Global, $$INT_USG_SESS_TABLE_NAME, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1715, edw_usg_sess_post_tods_047, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_atomic, w_usg_sess_p, 1715, edw_usg_sess_post_tods_047, Global, $$TABLE_OWNER_NAME, DWINT
N/A, edw_atomic, w_usg_sess_p, 1715, edw_usg_sess_post_tods_047, Global, $$TRG_TABLE, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1716, edw_usg_sess_post_tods_048, Global, $$INT_USG_SESS_TABLE_NAME, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1716, edw_usg_sess_post_tods_048, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_atomic, w_usg_sess_p, 1716, edw_usg_sess_post_tods_048, Global, $$TABLE_OWNER_NAME, DWINT
N/A, edw_atomic, w_usg_sess_p, 1716, edw_usg_sess_post_tods_048, Global, $$TRG_TABLE, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1717, edw_usg_sess_post_tods_049, Global, $$INT_USG_SESS_TABLE_NAME, INT_USG_SESS_POST
N/A, edw_atomic, w_usg_sess_p, 1717, edw_usg_sess_post_tods_049, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_atomic, w_usg_sess_p, 1717, edw_usg_sess_post_tods_049, Global, $$TABLE_OWNER_NAME, DWINT
